Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
BCL9,2379,4259,4101,6368,2051,3881,3390,5234,3199,4834,1315,776,2302,921,1640,2139,1157,1422,1323,817
BCLAF1,10434,7798,4661,14656,13777,15969,18480,15643,15079,5063,10863,5473,18019,6127,6323,13623,8436,9864,6572,5144
BCORL1,902,706,476,1963,1651,2081,614,2017,1779,467,1155,1181,2475,1296,1072,1326,729,1061,910,701
BCOR,1895,2980,1203,2940,6033,3205,1797,2369,2895,619,1819,1098,4287,1536,1416,3016,626,1964,1643,858
BCR,2603,4503,1608,9043,3876,8001,4256,4594,6783,4281,6291,2953,5266,4477,6120,4599,4328,3990,4547,4291
BCS1L,1124,531,935,1429,856,896,1814,2933,2019,521,1125,494,1008,547,761,876,460,621,931,463
BDH1,1342,1080,930,3363,1896,5136,782,2062,870,2284,1941,326,1570,1303,1228,1117,655,805,1878,168
BDH2,941,1003,1106,2841,1133,2100,1127,5436,3268,742,3502,1280,3032,1428,2022,3864,1486,2481,1728,1571
BDKRB2,296,516,402,462,857,1325,405,86,231,84,1982,2586,2993,479,1128,920,483,1822,1165,848
BDNFOS,28,15,82,153,51,189,43,279,108,63,365,127,389,148,191,341,186,204,172,188
BDP1,2098,924,1479,1483,2986,3831,2418,1657,2108,502,1918,1730,6301,1885,1065,4420,2923,2414,964,1772
BEAN,21,71,14,357,161,164,347,16,69,66,133,15,105,22,25,76,37,49,85,14
BECN1,2427,3193,643,3876,6077,5716,2175,3535,4443,1234,6856,3111,5506,3712,5169,5563,4176,3967,3896,3892
BEGAIN,2,93,29,9,19,131,686,6,14,7,303,28,149,39,141,137,67,100,317,13
BEND3,1454,563,525,2059,683,870,1614,1122,1729,691,326,104,470,115,252,487,251,119,395,76
BEND5,10,69,11,453,42,119,107,341,34,34,553,85,436,126,263,368,151,267,340,128
BEND6,154,376,60,39,333,460,231,478,510,136,146,303,91,27,115,50,63,48,69,108
BEND7,77,879,909,4367,91,3451,1849,2009,1666,557,1032,717,1824,790,723,1913,751,930,635,590
BEST1,56,122,62,22,428,402,110,87,89,30,223,306,144,160,274,179,179,165,61,430
BET1L,4360,3675,2198,7200,9562,6642,3076,10707,6447,3223,6370,3083,5188,2788,5089,5395,3647,4401,4822,2719
BET1,872,801,1326,1696,3685,1606,1801,3174,1099,945,1468,870,1724,1055,1387,1725,1009,1393,918,841
BEX2,20,411,1392,1728,624,850,1627,1698,1617,932,1351,40,924,38,654,990,445,864,1021,56
BEX4,488,731,1985,2591,4612,2086,6988,5164,1471,2294,4888,1167,4058,1029,2728,3445,1864,2638,2745,923
BEX5,24,73,168,649,194,109,292,82,18,18,325,38,148,32,268,229,99,241,265,53
BFAR,3852,3618,4453,4605,5007,4772,7689,10204,6716,1644,3573,2515,4365,3189,2895,3136,2906,2826,2726,2687
BFSP1,170,160,199,483,311,343,263,343,423,242,212,77,268,94,177,138,85,158,155,62
BGLAP,21,173,270,234,43,85,220,204,28,97,165,53,72,65,177,78,45,69,68,46
BGN,28128,36986,41602,18910,40574,81419,25877,16893,28972,12529,10632,12999,4331,7541,9342,4419,8849,6173,3874,5957
BHLHB9,531,283,221,488,327,763,452,862,588,471,432,250,747,292,464,616,333,527,222,252
BHLHE22,82,649,25,31,87,235,36,31,31,22,212,76,83,115,237,188,137,149,101,87
BHLHE40,7623,14336,2002,828,17779,17797,10282,3660,9010,4020,21216,3331,49185,9104,12740,12996,14325,29396,16394,4925
BHLHE41,1326,954,184,162,1228,2391,2571,12067,5880,300,6040,986,7060,3754,4373,6031,2606,5965,8325,3114
BHMT2,50,154,950,123,205,1062,128,80,924,31,266,1681,762,3689,2010,775,2026,1589,79,5975
BICC1,215,481,17,79,741,1748,155,373,337,28,514,752,1147,481,387,772,903,695,144,762
BICD1,418,442,162,159,179,759,483,2491,890,71,246,245,724,150,151,406,194,322,217,185
BICD2,2281,2494,1308,3082,2924,4301,1687,2237,3738,1643,3064,2248,3661,2720,2733,2542,2127,2202,1736,2829
BID,1194,1361,1051,3377,1377,1540,3364,3183,5006,410,1634,817,1345,855,1390,1184,717,837,1450,602
BIK,26,91,62,793,817,60,324,944,339,28,342,2,383,4,364,502,293,133,462,3
BIN1,451,2030,780,3193,419,2557,247,3169,1038,632,3259,3579,2218,3565,3925,1856,1695,2010,1653,3825
BIN2,845,565,107,485,3672,1376,350,5145,565,622,592,856,194,181,592,783,160,292,284,493
BIN3,1048,1110,690,1639,2005,1513,1710,3491,1030,1032,1553,592,1372,760,1372,1127,606,1010,1411,669
BIRC2,5024,4422,1276,5057,5423,12472,3089,8069,3581,2158,3930,2283,5685,2401,2559,4827,2620,3949,2199,2567
BIRC3,1905,882,125,103,973,3895,1207,6659,1508,348,1122,461,667,308,1365,1885,1076,1091,548,628
BIRC5,2155,5042,1212,8265,717,4136,5677,5389,5116,702,239,231,174,7,391,45,39,66,152,38
BIRC6,4691,5863,1858,4316,13096,12140,7202,7026,7301,3540,4790,4417,11068,4988,3322,9307,5660,5348,2912,4858
BIVM,436,1084,779,5230,563,7392,1779,2944,1382,498,1761,1166,1944,1208,1091,2234,1025,1066,913,1044
BLCAP,3617,2273,2338,4268,5563,3258,5042,4709,5022,3449,7577,5035,5684,7359,9945,5929,5209,5788,6214,8715
BLMH,1874,1755,3499,6229,1468,3874,1803,3219,5960,2019,2126,1568,2876,1358,1782,1639,1744,1524,1621,1331
BLM,794,803,323,2511,569,1476,3128,2127,3774,444,183,92,253,33,88,153,79,105,180,28
BLNK,530,1665,65,682,505,892,276,1615,169,564,759,338,442,124,482,1183,191,393,391,163
BLOC1S1,1013,1892,2752,3741,1391,1290,1271,6021,1609,757,3072,2036,1618,2104,3359,2036,1334,2053,2098,2218
BLOC1S2,1953,1756,1218,3582,1930,2004,4451,2933,1694,2459,1976,1627,1921,822,1818,1926,1202,1519,1576,1059
BLOC1S3,1094,1444,849,2232,2472,2137,2381,969,1078,1915,901,583,774,532,1022,987,716,644,572,501
BLVRA,1275,1958,1585,2137,6132,3088,1511,3016,3355,2516,3624,2669,2146,2591,3666,1984,1598,2167,3767,2540
BLVRB,1727,2740,1502,1370,6738,2865,763,1685,1015,3990,4120,4876,1865,3827,5012,2112,1914,2035,3614,2999
BLZF1,1828,1842,977,2131,2980,3132,8556,1955,1762,1866,2103,916,1846,1353,1434,1982,1290,1319,895,1511
BMF,929,2278,1886,11377,1370,2393,488,9273,901,12314,968,1108,1205,455,1064,1909,612,618,782,503
BMI1,3793,3318,2624,10897,11088,4185,5318,6324,3425,1222,3115,2751,5463,3391,3215,6153,3095,3627,2735,2805
BMP1,1898,3269,2268,3046,2289,5315,2063,3008,2029,587,2250,3392,2062,1500,1836,959,1243,1047,1164,1422
BMP2K,776,876,261,363,2820,2949,580,981,1442,215,1207,886,1651,767,956,4489,820,533,470,712
BMP2,282,57,500,28,31,323,1210,83,437,12,294,439,319,763,850,283,1132,534,45,1367
BMP4,46,278,639,538,171,209,51,49,110,42,681,694,582,1073,1020,1290,876,1214,632,792
BMP6,2825,153,160,342,198,85,3356,60,1322,21,576,926,533,1490,968,695,975,1322,179,1004
BMP7,42,320,799,1271,179,436,2785,1294,31,53,726,1090,1046,139,472,221,299,546,1207,281
BMP8A,440,483,323,423,996,1964,368,349,1138,100,129,46,189,75,134,161,111,84,98,48
BMP8B,108,699,47,335,66,428,763,177,1482,14,72,166,250,38,81,203,92,138,140,36
BMPER,3,13,3,5,6,16,38,31,10,0,358,319,1024,735,413,393,375,288,117,696
BMPR1A,1275,1028,1435,2596,1950,2980,1622,5542,3281,1957,1645,1797,2719,2061,1520,2643,2295,2203,1232,2143
BMPR1B,152,223,247,901,319,1787,437,146,798,86,2209,38,1430,45,2164,323,3353,1316,34,36
BMPR2,6436,3413,2912,5438,11894,12335,6483,6918,12615,2099,7384,8124,11755,11306,6017,11617,9297,8234,3468,7164
BMS1P4,88,45,23,61,196,75,55,140,40,19,78,41,167,54,44,176,112,67,14,43
BMS1P5,164,226,135,212,223,226,214,373,194,79,189,147,721,125,114,1341,272,164,105,93
BMS1,4515,3940,1531,6366,6133,10553,2172,9457,9858,3805,4454,1971,5099,2686,3110,4057,2439,3266,3221,2251
BMX,23,2,52,43,8,140,399,87,12,2,340,425,203,383,557,492,293,674,115,187
BNC1,48,394,1,73,3,472,123,82,709,0,203,41,353,32,54,116,31,133,278,8
BNC2,433,586,110,100,1404,1854,340,198,160,59,677,1679,1136,1715,838,999,957,956,191,1768
BNIP1,266,511,697,1014,1009,434,472,1398,455,298,605,237,502,277,508,431,299,381,442,385
BNIP2,2848,2162,1783,2358,2619,5625,2111,2609,5086,1003,2442,2616,3560,3122,2406,3386,2700,3099,1245,2964
BNIP3L,4096,7789,2725,3046,47581,7567,6752,9315,6314,8885,10491,12327,10185,22711,11658,11789,10532,9786,5934,13563
BNIP3,1188,4577,2003,1439,1888,1892,2074,8172,2538,6065,2118,3327,2600,6454,3022,2794,2599,2223,1499,3676
BNIPL,164,1680,846,9217,75,255,378,718,344,2552,1644,8,1674,23,1254,1923,478,535,1243,27
BOC,535,708,8079,8626,693,3922,1420,1634,361,607,6704,2638,7000,2362,4687,3594,2436,4038,4387,2002
BOD1L,2449,2528,657,1780,3686,6279,2326,5430,3689,1049,4030,3140,6861,3723,2660,6745,3791,4032,2005,3854
BOD1,1725,2034,2950,4578,4228,2236,2512,7976,2669,1177,3579,1444,2957,1902,2307,2863,2371,2274,2134,1966
BOK,1796,1260,1483,2948,2852,944,1023,1865,2565,1682,3071,8178,3615,18270,9641,3484,4975,4570,3832,9022
BOLA1,873,1327,1720,1604,470,1314,1222,1811,717,1357,782,371,597,428,728,580,336,452,647,458
BOLA2,2389,3446,4268,3392,2690,2065,4547,9575,4373,2568,1788,857,1749,776,1796,1248,1153,927,2005,799
BOLA3,545,1192,725,927,913,1715,3945,1120,1886,845,705,252,460,463,634,361,407,393,635,491
BOP1,2178,2386,1890,2825,797,652,1043,2128,4100,821,734,136,634,255,598,155,346,172,1156,314
BPGM,864,1630,1371,3274,1712,3606,1040,1068,1207,712,1580,654,1055,919,1051,1523,923,987,916,1017
BPHL,1073,1301,992,2073,3590,2126,2042,1495,2697,1307,1416,1126,1423,2353,1502,1211,793,1154,1096,1016
BPNT1,2891,2892,1156,2797,4299,5028,1720,7200,1895,928,1802,825,2215,794,1214,1608,924,1086,1443,795
BPTF,4490,3740,1086,8119,6319,11843,6513,8362,7748,1914,5321,3780,11612,3980,3433,8555,4690,5094,3021,4101
BRAF,317,458,313,376,757,2047,863,787,1247,771,411,398,877,470,259,643,550,436,193,436
BRAP,1793,1638,554,2689,2158,2257,2572,3527,1708,992,1933,1041,2232,1473,1666,2174,1465,1567,1166,1621
BRCA1,1017,1323,148,2181,1458,307,1603,1622,162,519,653,456,761,342,418,709,461,426,442,405
BRCA2,709,524,50,6,1454,2272,2257,867,3587,92,169,213,308,29,71,327,153,122,91,54
BRCC3,1874,2282,717,1949,7911,3493,3685,5391,2784,1704,2396,820,2084,968,1303,1811,1004,1188,1276,1007
BRD1,1906,2147,1960,5178,2246,1579,1707,2756,1741,1449,3349,1337,3927,1747,2359,3224,1802,2307,2375,1514
BRD2,13488,16344,5443,26725,13780,23209,24994,26146,32916,5737,16461,6395,18424,8108,10373,19374,9904,12340,11323,8044
BRD3,2719,1962,1747,2656,1960,2923,1748,4740,2150,1161,3078,1734,4531,2174,2575,3400,1985,2141,2423,1920
BRD4,4234,5470,2759,8160,6243,6249,5959,12487,9219,2881,4460,2396,5681,2802,3787,4110,2825,2995,3699,2001
BRD7,2274,4019,1713,9066,6048,6843,8149,11162,8482,2452,4696,2191,3735,2437,2499,4118,2071,2914,2518,2656
BRD8,2069,1551,1417,4938,1428,3709,1643,10131,3155,972,4128,1446,4657,1537,2221,4049,1783,2543,2655,1423
BRD9,1419,4509,1067,1704,1499,4647,1622,4692,1717,837,2629,1185,2456,1441,1895,1958,1411,1594,1814,1446
BRE,792,2518,691,1430,2040,2100,2358,2243,2776,1389,2603,1264,1894,1237,2239,1546,1342,1459,1683,1219
BRF1,1271,1958,1357,1947,1220,2345,1108,2163,3231,1213,2499,855,2065,1309,1857,1706,1205,1245,2139,938
BRF2,1407,890,502,1955,1749,1560,693,2572,922,769,1006,691,1001,855,1033,1003,876,887,891,717
BRI3BP,347,482,182,354,962,869,521,420,1068,385,168,73,193,95,154,162,130,94,126,84
BRI3,2615,3957,3376,3190,4013,9991,5228,6383,3185,3491,3615,4829,2408,4402,4829,2960,2244,2667,1964,3686
BRIP1,369,982,77,1518,366,588,693,883,1372,126,83,39,169,34,34,122,52,64,114,18
BRIX1,1935,2710,1792,4564,2494,5364,10311,7635,2385,1308,2151,659,1672,707,1147,1476,999,1178,1511,857
BRMS1L,424,524,185,615,1027,1826,639,888,1789,197,556,392,657,473,394,765,312,534,345,393
BRMS1,1763,3231,1337,3988,1698,2770,1590,6882,4493,2360,2684,933,1513,799,2145,1535,1222,1119,2554,985
BRP44L,1806,1099,1373,1202,2476,1983,4839,2137,3138,1147,1591,1446,1113,2098,2079,1533,1289,1434,996,1293
BRP44,1313,4051,4442,6658,13709,3554,7664,7071,2574,2776,5633,1526,1906,2236,3374,1717,2418,1735,2226,2146
BRPF1,2497,1920,893,2856,1316,3246,850,4045,2531,718,1896,808,2558,1061,1208,1879,1100,1249,1607,826
BRPF3,1429,2589,1707,5100,6156,6825,7719,7873,4000,2161,2708,1293,5346,1670,1799,4630,1897,2557,1811,1586
BRSK1,72,214,318,1003,30,179,304,516,302,62,298,6,395,6,87,154,129,109,256,0
BRWD1,4248,2620,2209,4881,5071,5438,6458,6695,5185,2459,3968,2798,7169,3583,2657,7495,4390,3084,1911,2915
BRWD3,1306,695,175,482,1574,1690,672,1026,1597,605,364,371,986,336,149,1064,404,298,158,279
BSCL2,2015,5514,3232,7139,10943,6072,2869,9414,6947,6757,6639,2288,4585,2357,5419,3844,3036,3262,6197,2227
BSDC1,3804,3680,2311,22082,5054,9884,2751,5237,6736,4180,8149,3265,8885,5263,6360,6594,4693,5297,6117,5410
BSG,14789,22027,46623,59714,24786,19474,20303,33702,27331,9155,22049,15815,17856,18999,25392,12134,14734,12724,28717,15371
BSN,26,21,58,80,29,186,170,97,79,52,116,35,240,74,74,231,194,61,89,61
BSPRY,1466,2566,1018,2660,2206,2409,789,1761,5063,798,3980,6,3022,53,1447,2368,715,1428,4204,60
BST1,159,648,62,130,331,324,170,280,116,26,514,647,233,746,937,385,450,531,130,790
BST2,3408,18057,553,551,838,29067,2526,28924,1374,841,15425,3357,3191,3635,6920,7975,3084,4400,4921,3882
BTAF1,2313,1448,1070,2321,3390,3919,2774,4042,2146,1121,2290,1524,4860,2153,1369,5277,2373,2366,1242,2401
BTBD10,1719,1926,822,3175,2894,3116,1372,2851,3007,1066,1669,1102,1825,1140,1419,1653,1186,1328,971,1212
BTBD11,97,95,45,20,2471,179,341,244,82,24,907,158,689,92,313,562,523,486,572,311
BTBD12,674,776,608,1267,976,1113,731,624,914,225,524,363,702,343,582,662,486,336,470,350
BTBD1,3033,3065,1047,3343,4681,4519,6446,5825,9303,1602,4500,3071,4502,3953,3617,4168,3764,3401,2602,3683
BTBD2,3101,4932,4657,6361,1259,4549,2096,8980,7719,2291,6311,2641,5849,3192,5578,3493,2830,2910,7012,2779
BTBD3,4126,1788,3216,3316,2942,5415,10239,3558,8041,1314,3012,1260,4867,1655,1744,2967,2053,2035,1795,1218
BTBD6,2890,3544,2568,3149,1912,6312,5962,3744,3481,2382,3748,3501,3157,10114,6567,3066,5413,3246,2598,6079
BTBD7,2266,1669,1122,1432,4986,2404,3664,2201,3174,957,2567,2118,4208,2789,2065,5071,2361,2445,1745,2208
BTBD9,594,1099,1004,1899,1408,2218,1004,1054,2405,1241,1545,616,1985,1017,1341,1609,1361,1094,1331,943
BTC,13,48,51,40,262,202,36,54,82,45,36,12,108,54,48,114,48,69,30,39
BTD,509,825,369,699,2122,1623,231,838,1700,465,2076,2306,1791,3461,3292,1700,2317,1962,1194,3876
BTF3L4,3134,2022,1658,10580,2486,3882,8629,6701,4305,2316,2352,1499,2820,2468,2069,2524,2152,2034,1801,1548
BTF3,13782,12407,8978,13133,14959,11981,32910,54534,29000,15095,42622,14356,37799,18327,29232,26882,20856,25587,34379,16101
BTG1,5999,12269,9325,11374,6780,7318,36946,14302,15752,2946,15679,11467,14170,10733,14664,25065,9262,14338,9154,9789
BTG2,1907,3390,5597,6994,4195,8019,6395,4485,3213,3594,11001,15593,21320,18142,22799,18581,17321,11669,6890,32484
BTG3,1532,2689,1062,4206,482,2563,3272,1656,4434,1233,1530,701,1642,878,920,1274,847,1039,935,689
BTK,576,628,34,54,587,1305,239,1092,358,167,517,829,201,226,639,455,183,170,116,448
BTN2A1,1981,2107,1406,1662,1453,3000,1254,1955,2800,608,2076,1030,2272,1361,1159,2222,1206,1754,966,1192
BTN2A2,909,1075,934,870,301,2771,727,1824,1150,229,1100,442,849,350,779,1130,524,732,521,412
BTN2A3,107,71,65,62,29,161,86,49,67,23,83,95,161,35,46,152,26,116,32,37
BTN3A1,2684,3127,963,1247,1144,7749,840,6308,1512,285,2260,1685,2751,1634,2195,3727,1347,2364,1331,2181
BTN3A2,3922,6810,1843,1233,1774,12624,1497,8203,3703,630,3748,2973,4415,2701,4123,5797,2428,3750,1825,3258
BTN3A3,1677,2736,594,348,836,6622,780,4309,1107,144,1769,1745,2059,1121,1120,2511,921,2013,1078,1761
BTNL9,255,54,88,82,251,33,157,87,19,42,2261,5064,4229,11089,6014,4598,5828,3389,652,8874
BTRC,1176,1237,701,3067,1691,3544,2281,3454,1465,2672,2487,974,3999,1181,2096,2697,2402,2158,1941,1091
BUB1B,2529,2332,1013,4103,808,2286,4120,3382,3399,1909,168,284,411,11,82,118,99,54,219,42
BUB1,4697,4895,1120,4556,1641,3989,6496,5805,6942,1433,211,182,314,14,69,125,78,53,145,34
BUB3,10061,5116,2918,11073,7755,7161,14951,16048,7428,4178,6326,2527,5155,2201,3504,4937,3766,3621,4610,2042
BUD13,1020,2261,416,3161,1607,2248,971,2902,1450,563,1420,742,1438,784,1097,1640,718,1256,982,759
BUD31,2534,3677,2075,3748,4207,4283,5923,9838,3109,3597,3261,1542,2097,1644,2481,2104,1381,1748,2553,1811
BVES,67,396,109,141,168,497,176,327,894,36,483,411,520,392,345,438,382,388,138,247
BYSL,2132,2116,1336,2539,1020,3188,6416,4803,3510,1120,1417,396,1196,456,903,635,644,694,1299,372
BZRAP1,705,684,1276,5060,532,897,333,1712,1038,23,2167,132,1714,166,837,2636,913,943,983,169
BZW1,9243,12049,4459,12527,20860,15721,27153,23362,37662,4686,14955,8598,12219,8269,10718,12708,10524,9236,10734,7407
BZW2,4652,4443,2060,3303,11219,12296,21114,12837,12113,9255,4568,1731,4840,1498,2899,3816,2687,2489,5285,1300
C10orf10,6824,6082,3578,1679,3452,11525,1220,19708,2808,1635,12284,30157,5519,23728,26583,13522,12553,31630,7219,33049
C10orf114,313,383,296,16,12,60,296,209,39,1316,137,37,123,89,82,65,51,118,43,87
C10orf116,288,823,370,698,899,100,217,448,1695,744,10101,22949,5460,31719,28583,8263,13986,12603,5436,32402
C10orf118,1568,945,288,1155,5399,3489,805,3219,1865,1629,1336,975,3696,871,785,3277,1519,1919,516,992
C10orf119,6894,5629,1619,7841,4966,7953,12309,14386,6275,3851,3829,3147,4662,3409,3136,4329,3216,3623,3062,2762
C10orf11,19,127,253,130,41,245,36,360,35,149,337,287,45,370,378,227,114,237,60,206
C10orf125,118,333,100,156,189,247,121,638,387,548,263,324,170,261,372,141,220,110,321,221
C10orf128,32,27,8,6,27,135,22,66,32,22,151,228,108,163,180,165,115,213,40,215
C10orf12,422,266,51,173,596,1069,509,595,489,219,240,212,545,215,125,341,185,175,112,209
C10orf137,1114,731,402,1501,979,2161,1624,3238,1052,1069,1073,610,1622,726,670,1560,701,757,606,641
C10orf140,99,113,143,172,13,29,157,100,46,460,146,85,96,116,95,220,68,104,55,63
C10orf18,12202,9030,6040,6710,9107,19954,36612,11004,15040,2156,3705,2241,6140,2276,2131,4976,4982,3279,2008,2253
C10orf25,170,118,30,65,249,388,195,643,417,53,166,186,214,211,236,179,171,159,144,277
C10orf26,3418,3565,1463,4046,5463,5277,1948,8038,2391,3804,8917,5275,6278,5569,7566,6537,6029,5068,4440,7301
C10orf28,1084,887,185,1363,900,1484,542,1804,852,605,1388,551,1403,419,710,1538,718,1047,595,576
C10orf2,2908,913,576,1977,639,793,1588,4831,2044,1000,1339,256,1616,347,602,1038,808,707,1094,208
C10orf32,653,300,486,908,1475,1497,878,1279,788,798,3029,1036,2751,1508,1845,2311,1959,2210,1386,981
C10orf35,753,775,1263,2773,408,2339,320,1453,807,597,680,35,479,59,329,401,228,320,830,75
C10orf41,18,130,131,199,49,86,30,395,83,146,161,99,74,87,169,130,50,94,133,94
C10orf46,6439,3677,1436,5136,4613,8941,4694,8512,3890,4380,4813,2490,5066,2911,3766,5822,4036,3330,3490,3059
C10orf47,228,835,483,659,1127,532,425,963,1274,177,580,177,909,183,428,501,332,422,489,100
C10orf4,1018,502,507,2307,383,803,1818,1554,800,726,1465,990,1490,587,1066,1459,1115,1189,813,1172
C10orf54,1218,1740,966,406,938,2778,787,2557,963,561,6540,5132,3531,4499,7381,3451,4036,5028,3224,3797
C10orf57,1505,1788,2609,9317,15271,3836,2454,5613,2046,5182,4111,1189,3866,2089,3084,3337,2069,2026,3076,2114
C10orf58,3577,4954,5881,13175,13317,8845,3562,19341,3964,11919,6537,11540,9235,26079,16597,7304,15817,8955,4083,25447
C10orf72,341,700,482,670,1300,1879,402,241,198,159,1301,3725,2254,4828,2132,2227,2488,2114,678,4465
C10orf75,177,160,92,169,400,156,240,750,360,173,359,85,241,350,261,211,267,263,294,60
C10orf76,1698,1609,684,2058,1996,2997,1781,2335,1516,1506,2030,1515,2380,1520,1794,1954,1465,1685,1371,1470
C10orf78,321,243,233,472,223,381,478,724,289,159,347,240,359,268,318,447,201,356,312,180
C10orf81,6634,2769,423,411,512,320,193,2656,1618,6,4245,3,3700,154,1840,4157,3185,3348,3486,81
C10orf84,1927,1370,701,2640,1364,2631,3209,4781,1496,1197,2263,1484,1927,1965,2058,2290,1829,1753,1220,1793
C10orf88,503,326,331,749,422,877,512,892,418,417,617,359,658,395,452,653,469,587,397,378
C10orf90,0,6,377,369,1,397,851,17,11,20,134,32,1225,49,193,257,91,166,169,162
C11orf10,2075,3909,4448,9438,4420,3441,6356,12355,7565,2642,3431,1587,2525,1169,2495,2189,1424,1822,3386,1228
C11orf17,568,1650,338,1229,920,1134,390,804,1429,192,1005,539,605,378,735,630,453,616,723,437
C11orf1,193,373,640,971,1269,567,1363,2311,1006,1272,1738,427,1326,661,1019,997,577,810,1211,482
C11orf24,1720,3126,1917,3699,3475,6442,1742,6337,3535,1171,2385,1392,2183,1783,2466,1212,1725,1281,1935,1523
C11orf2,1536,3400,1458,4126,3431,4195,1013,16433,3168,5232,8086,2656,8511,3807,7207,4887,2939,3697,9669,3043
C11orf30,740,790,333,1784,2511,2777,1241,2119,1796,994,1061,728,1978,839,810,1685,764,1183,597,908
C11orf31,1276,3141,1683,4493,2832,2762,3836,8080,4282,2628,3767,1201,2116,1093,2627,2305,1228,1289,2740,903
C11orf35,48,68,62,49,25,24,5,179,99,57,226,2,99,9,73,126,19,59,132,4
C11orf41,1413,2546,140,1531,483,2349,375,3864,2967,46,459,124,1091,99,187,1185,232,215,695,178
C11orf45,125,167,96,11,192,469,69,595,144,15,205,150,134,53,152,158,88,126,99,158
C11orf46,967,1107,782,2342,1500,1680,2408,3756,2617,709,2329,1265,2442,1255,1768,2418,1365,1653,1465,1611
C11orf48,1436,2218,1668,2354,1632,1640,1723,5646,2632,2349,1836,778,1007,712,1356,929,966,696,1413,594
C11orf49,699,935,666,1780,409,1276,1630,3637,1927,768,2001,473,1353,322,1191,877,813,961,1400,475
C11orf51,734,1248,887,1738,1211,1627,2494,2809,1817,753,1792,617,945,849,1284,925,916,824,1138,847
C11orf52,226,481,315,2269,3114,967,159,1074,1013,1333,1825,90,1503,179,1096,1312,373,815,1420,200
C11orf54,489,971,392,602,3825,1630,618,3139,2955,2846,1728,1181,2353,1379,1122,2668,1003,1547,976,945
C11orf57,1470,1784,1050,4803,3842,4418,2189,7141,2969,3012,2651,1228,2893,1323,1698,2823,1569,1677,1788,1323
C11orf58,7968,5594,3679,10408,8909,12587,5364,16989,15747,5585,9436,5565,9720,7240,7241,10582,8012,8259,6159,6020
C11orf59,2188,4387,1774,5143,8139,8593,2298,9228,5211,3741,6074,3300,3719,3630,6154,3782,3780,3240,5464,3546
C11orf61,266,333,757,681,477,368,871,1157,397,85,791,323,831,398,461,938,411,617,338,302
C11orf63,326,652,17,26,218,1006,845,200,147,263,643,482,730,899,519,648,704,596,257,775
C11orf67,408,710,820,1196,538,832,224,1731,606,2266,1242,1119,837,1998,1875,1159,1053,1245,758,1610
C11orf68,1208,1921,1082,2450,1795,3577,1438,3714,2578,1295,2982,1423,2251,1402,2936,2281,1090,1876,2557,1551
C11orf70,51,32,31,11,10,29,124,283,141,147,174,93,130,116,109,80,90,130,99,102
C11orf71,352,261,787,648,1835,761,712,783,436,363,882,370,757,414,773,823,492,544,571,412
C11orf73,749,1408,1082,1781,1379,1954,4372,3422,3572,2424,1395,1123,1114,1167,1435,1049,802,944,1067,1226
C11orf74,148,344,464,873,190,620,1189,1187,769,498,743,514,555,546,531,467,279,574,373,541
C11orf75,690,1194,777,2798,1207,1664,1578,3158,1099,1823,1150,429,1019,194,806,796,256,439,796,210
C11orf80,413,1370,1038,2756,2893,925,727,2013,1859,1023,994,66,1019,95,607,655,455,646,1006,102
C11orf82,513,839,231,1009,786,1192,2087,1651,2097,677,200,129,185,30,126,234,102,87,146,73
C11orf83,588,1300,858,1258,330,358,320,2676,1332,1875,902,272,473,366,958,454,356,424,987,313
C11orf84,1242,1744,1115,3715,1030,1665,994,8672,2747,1118,1269,322,1139,417,720,722,293,418,864,238
C11orf92,3,55,1208,1071,604,580,11,243,15,1105,478,64,405,56,164,488,109,245,1024,89
C11orf93,7,86,81,1170,261,475,22,190,18,47,114,46,119,37,96,151,46,86,181,88
C11orf95,1257,1293,1395,2344,979,1005,1223,4708,1175,942,2076,1253,3167,1717,1442,1688,1055,1706,1272,1305
C11orf9,7,577,282,180,84,1050,190,326,351,15,87,18,388,16,46,126,32,84,183,13
C12orf10,952,857,788,2017,828,727,1110,4194,1805,754,2733,1213,1779,1153,2284,1603,1145,1595,2516,1121
C12orf11,2729,1312,1856,2306,1942,3023,7832,11330,6237,1895,1394,757,1648,787,779,1153,606,914,929,635
C12orf23,2349,2299,1768,5136,8561,7446,3514,8185,5083,520,3235,2471,4996,1769,2953,3493,2501,2655,2064,1328
C12orf24,864,306,549,203,58,509,1238,1394,588,13,260,132,382,104,110,275,138,144,153,92
C12orf26,213,207,48,282,444,169,146,558,586,43,457,186,615,230,373,482,240,388,333,214
C12orf29,1192,959,476,1179,1477,656,1661,2979,1796,534,1328,651,1328,682,780,1421,741,987,590,567
C12orf32,1314,2527,2031,5800,2823,5821,8617,8559,4919,1571,1688,533,1397,316,1211,1501,711,733,1297,375
C12orf34,61,164,1370,942,1855,896,1769,621,218,144,336,31,486,34,335,307,251,134,395,30
C12orf35,3177,1664,2416,2708,2787,6224,3690,10868,4445,1644,2934,2125,6125,1798,2352,8579,2564,3322,1483,2532
C12orf41,1123,1408,315,4068,1859,1471,2292,5614,1939,659,1672,656,1942,816,949,1723,989,1133,1204,738
