Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
STAT3,15481,21456,2863,13208,26125,35100,9018,17968,17741,4684,24454,11603,21453,10934,15767,18425,15140,14355,13198,12041
CD9,12222,16560,7441,26929,21636,36675,23926,38465,16563,12482,16410,3640,14082,3060,13279,16077,7978,14461,14439,4372
ILF3,15269,15616,15425,32156,9887,19894,30020,25068,35497,9573,15402,6863,15676,7782,11585,15016,9415,9574,13687,7150
PDCD4,6719,2452,5478,49699,13185,19299,9029,34327,14392,23049,21815,5717,36138,5562,15389,16366,8408,12938,15328,5248
CYR61,6089,15595,5387,3845,2300,7719,6190,7008,4997,759,22569,11760,55206,29662,39585,15637,14841,24246,16077,31059
FKBP4,15022,10206,8427,20578,19995,30607,31539,42641,24512,22855,19558,2935,14803,2872,10300,8688,8319,7601,16570,2119
HLA-DPA1,16565,23063,3172,3444,18012,31010,4459,62432,8868,4386,23722,9572,6962,9831,16306,26839,9525,11178,13724,16275
KRT18,7343,23187,7536,13444,16116,6160,7861,38376,12544,17678,38872,263,28978,827,21561,17374,12539,14844,32246,484
CAPN2,17178,38392,7816,8893,38672,17486,14584,11788,11555,6448,15215,17106,12988,15949,17283,14788,11325,14541,10635,15452
SON,12435,12658,5576,10874,19649,32014,16979,16874,21187,7509,16558,10993,29024,15398,12777,22939,14970,15928,9961,13598
LAMB2,4910,10058,5231,3674,10010,14655,1766,4791,9013,1527,34830,17465,33636,25126,35372,17433,19913,19699,20845,26674
MRFAP1,10247,12335,5822,12117,11390,17293,11920,39114,16270,9550,31191,11749,17991,11932,19928,17348,13708,14922,18847,12646
LASS2,11931,24405,23763,43668,19724,27494,22822,14109,11923,12886,15474,6500,11343,7210,12700,11335,11171,8717,10900,7286
CYB5R3,7298,10959,8563,24327,14844,14317,6883,8574,14809,7530,17770,17469,14206,32167,34915,11094,18796,14832,11099,24103
ELN,1139,160106,2074,2135,4790,66586,671,6080,7368,6067,5806,12059,3559,7871,7052,2346,7404,3902,1148,6258
ERBB2,4915,11391,28243,14764,24217,9625,1481,6958,6455,7030,21269,1359,20799,1404,13269,15865,8034,7201,106965,2109
9-Sep,15082,20849,4689,30299,11192,32577,8894,43955,17326,10159,20135,6571,16944,6416,15113,12661,8176,9589,17558,5003
H3F3A,16510,14196,58582,25742,14787,6962,44265,22093,11342,10122,14534,5843,11496,5254,11130,12483,7167,8983,8071,3577
ANXA2P2,18350,29758,2136,2844,13027,27388,5262,15397,33759,3096,16492,18830,10909,19118,20824,11029,14949,13228,15458,20645
TM9SF3,15435,11984,9628,19837,25019,26144,17730,22692,11925,9193,14178,11243,20103,12319,13245,18771,15571,13814,11092,11109
SYNCRIP,15165,14250,7178,22736,19473,29973,34088,28575,29738,9058,11451,6745,16058,8205,8711,12956,10191,9990,8908,7502
PFKFB3,4559,4597,2207,1829,1743,11920,1849,11743,9340,388,7757,45850,19258,51181,22407,12830,22635,16055,5411,57347
ERGIC3,6899,10763,13835,26941,28973,7966,15259,52896,28339,16418,17369,5841,14829,5220,12717,10180,8166,7722,14954,5436
PTMS,11379,20964,16176,45300,4023,18827,40247,57089,13952,1338,12078,5668,8083,5443,11651,7627,5125,6803,14747,4002
ST13,6677,9374,5346,17645,19704,11690,17973,17171,26446,8129,18550,12253,22182,22201,16427,17293,14754,15320,15008,15863
KTN1,11156,15261,4337,9815,27759,28356,27397,14830,22450,8913,20064,8669,21011,12214,10342,19554,12301,14179,9752,11483
BRD2,13488,16344,5443,26725,13780,23209,24994,26146,32916,5737,16461,6395,18424,8108,10373,19374,9904,12340,11323,8044
AP2B1,7504,15142,9885,21235,26352,30920,11092,8447,14677,5214,21150,11005,23871,10383,14779,19428,14604,16123,15319,11552
CDC42,16857,17961,7523,12196,18051,32102,14593,17294,16503,15066,17470,12114,15803,11849,16385,14910,12526,13372,13144,12327
BAT1,11268,12914,11810,23615,7515,18276,31922,24513,29989,7337,20959,7322,16689,9113,13336,17666,11406,11881,13437,6947
SCGB2A2,1,34,5293,42,5,5042,9,66,11,304,19526,19,37888,427,49969,10373,9250,142204,26957,195
CCNI,8734,13158,1527,22072,13654,24151,7696,29738,25133,6494,14194,12185,27832,15659,14046,17824,12897,14768,12368,12584
SEC31A,15112,19904,8543,21563,20925,30705,19026,31529,20835,6965,11330,10498,14098,10695,11259,11371,10232,10321,8274,13329
UBE2D3,13489,9835,5683,26494,11655,20294,17507,31983,37736,7086,16215,10194,15995,11291,13314,15303,10397,11216,11408,9387
SLC38A1,9489,5837,1517,11784,98248,11188,13155,17795,9814,7846,19334,729,20280,1583,12049,27137,14651,11769,11383,792
WARS,25840,44993,1747,2456,12096,69436,38748,25416,13551,2620,7542,6607,5343,11113,8261,6967,5745,6809,4520,5964
LASP1,9324,16959,9406,16093,18007,17319,5775,19999,11971,5454,18544,15924,19122,18652,22825,15426,16420,11889,17933,18635
EIF2AK1,8716,13525,10434,28075,30368,44788,21097,35679,20054,14308,10622,4740,10234,5622,8134,9509,7932,7148,8343,6297
PPP2R1A,9042,24087,8226,20597,20610,18680,18977,32878,23249,12813,16924,7537,13267,7640,15723,11511,8688,9788,17548,7456
STC2,1712,2299,1854,491,249,2279,2122,7299,4203,942,66809,128,43244,882,29644,43598,46695,36916,11977,1350
SURF4,12620,18684,5136,14433,21259,26439,7635,23827,14516,10824,14682,14158,14273,18094,20294,11028,13396,11642,13321,18397
SERPINH1,16397,24956,14767,9919,12853,25651,26532,32577,21682,22262,12623,13091,14943,11372,10181,5114,3987,6388,9873,8273
VCAN,14238,19140,5515,14523,58062,47830,26366,3836,8003,2693,10389,33039,16311,4107,5772,5078,10129,5080,2637,10400
SND1,8661,13856,5576,12370,18459,23983,12306,61311,21938,17029,13575,6552,15449,9395,12491,9216,9617,9374,13923,7811
DAZAP2,7651,14290,3543,17592,25785,15227,8489,35848,12672,5875,20938,10469,18106,10506,17771,21848,15912,15485,13139,11559
TNXB,286,183,358,539,380,375,202,242,297,137,15545,68845,25906,34682,43411,9944,34466,26061,6014,34120
HNRNPA3,12945,14731,9719,32214,9413,16275,33964,24252,25415,6121,16358,7880,16311,8231,11686,15865,10086,12512,11832,5886
NOTCH3,5247,12233,6623,16053,6866,6744,16261,94838,8423,7678,11205,6982,20030,10649,24302,8390,10841,9606,10574,7872
LRPPRC,11060,8590,3433,10015,17851,33352,25778,31521,59602,16298,9803,6477,11988,8760,6826,10610,9272,6835,7362,5911
LAPTM4B,8981,14050,14014,23959,21712,27577,49560,61802,20024,7238,6536,2365,7127,2030,4392,6374,9541,4295,8252,1350
GLTSCR2,3570,6841,10235,8909,4452,3288,5583,41134,9199,16865,33830,7899,30376,9618,24808,18951,9219,17206,30685,8380
RSL1D1,10889,12702,9514,11066,11929,14329,21879,62029,28041,8382,16155,6850,18035,8231,9699,11985,8655,9890,11604,8582
ECE1,5756,11832,3924,7790,11896,12134,4448,7659,7819,2369,45502,12449,35430,17211,23937,18027,14380,18597,24489,14722
SFPQ,13490,15698,9398,44140,10816,19794,30045,33849,28925,9133,11697,5131,13357,5696,8116,10555,7229,8445,9356,4992
COL5A2,20563,25373,8040,3672,43555,44759,11328,4095,17310,3663,9774,22491,28566,11006,9608,3975,9709,5461,3722,13111
NCOA4,9669,9519,2659,7103,26077,30577,6495,19732,13781,11879,14438,17930,18198,20543,14706,18114,15866,12774,9014,20419
STOM,6591,13504,5871,4262,11045,17781,7207,15389,7519,4096,29926,17537,18789,28139,18649,21365,23729,18155,11984,17683
CYP1B1,3170,971,11245,1604,20759,40481,4608,148493,1519,27224,6018,6311,3335,4661,3511,3270,3600,4342,2525,1546
EPCAM,11754,10396,19215,42806,23109,19333,37468,39530,29914,9725,11554,93,11950,219,5456,7466,3141,4783,10208,232
FBLN1,5889,8586,2222,7318,12593,19780,9710,2575,5499,1695,30602,24786,13360,14077,39408,18028,25669,24573,8565,23350
AHCY,11830,6658,6715,14538,20389,6016,18719,98981,35794,11391,10223,3370,11009,2831,7389,5698,5993,4518,13089,2966
KIAA0100,6276,11626,4097,9836,34504,25613,3465,14600,30297,6718,16506,11359,16509,15289,15409,16617,14405,9061,19442,16027
CTSZ,10897,23178,4233,10964,10082,27502,6643,17671,22376,5026,25637,35230,10238,10788,21662,11036,8900,10208,11208,13638
TRIM28,7153,24634,4368,12737,11857,14112,22563,52234,39798,8364,16339,4943,13598,4944,12159,9678,6817,7183,19263,3789
CCND1,12479,11631,1663,821,6388,22827,4565,15510,39092,1614,18159,4428,31556,13528,23348,7630,35866,13275,13040,19091
FAT1,18992,16808,2137,15133,7588,29349,7990,34411,11401,3224,13813,7578,22864,16738,10987,18675,15335,11980,13893,17586
TGFBR2,3265,3379,1646,1386,9759,11145,4106,3286,6724,919,20262,37322,18040,28420,22135,22938,28400,24448,7624,40633
H2AFZ,16060,12848,21513,46410,8717,14738,29959,40288,54582,7957,6740,3715,4129,2507,5120,4412,2696,3622,6356,2470
WDR1,17214,22957,4830,11994,14610,24484,11069,27509,19560,8472,21586,10422,17581,8925,15421,13131,9709,10980,16915,7295
PSMD2,13446,22684,4265,23954,14137,40620,6126,25011,41628,11033,11185,7740,8294,9904,10919,8623,7976,6906,10199,9572
CTDSP2,7660,9936,2981,8576,19748,14190,6299,29030,9518,3238,15462,18231,23824,20637,17261,26704,15297,14338,11758,18523
RAN,22184,17280,5433,20100,10174,19451,30593,50641,43256,7581,10482,4983,8485,3836,6809,6393,5244,5482,10685,3977
ZFAND5,8403,7712,6951,43244,17968,13113,35955,10354,11372,8970,19125,12081,11301,9382,13383,11649,19164,10304,6627,16004
RBM3,7639,13729,11075,14522,21528,15320,11612,28970,25714,7719,13372,8467,12350,12895,15848,13972,17468,13650,14114,12451
ATP2B4,7836,9289,6047,12886,6335,16706,9356,11911,8749,2408,9736,21031,15699,50516,16622,15453,20561,15211,5424,30077
ENSA,11368,23379,16819,40999,10701,20682,17097,24416,12595,17873,14958,5850,11161,7447,11380,10386,6958,9139,10495,7733
CCT6A,12243,15875,9242,18582,19587,27260,29272,34512,32416,16837,10776,5486,10101,5789,7748,8043,6891,6233,9367,5167
MORF4L2,20651,14432,12357,22844,19410,15891,26538,28937,18479,10434,16225,6576,12265,6668,10117,11768,12873,9075,9160,6677
RPL23A,6464,7332,18124,13753,9678,9008,13424,27273,32799,13788,21108,8113,20119,8142,16297,14703,9104,14269,20269,7149
COX4I1,12139,9598,20346,19384,11562,9652,12491,42673,22744,10396,18630,8355,12184,10878,16508,9902,7190,9364,18224,8616
KIAA1324,690,309,10138,40865,20913,3700,4072,9525,4631,583,43612,9,49489,359,16966,31723,6413,17463,28688,369
RETSAT,2098,3848,1769,3386,15596,6299,1816,1577,2095,10334,8857,14890,13406,52823,37308,8707,24413,16551,6719,57917
MMP7,86314,14559,52,153,291,19887,5973,95881,10178,20,10439,34,3711,99,10636,16025,3157,4892,7421,142
DSG2,14346,24860,9267,12808,22619,34911,10435,29972,37807,4583,10614,3585,18288,4422,5285,16132,9274,9194,6917,4188
ARPC5,10652,16009,15370,39168,18867,15953,23265,39510,19494,15986,12294,7741,9497,4801,8286,8335,4987,6884,7227,4772
FBLN2,4038,12570,4418,1527,10795,23288,1432,2747,18491,907,12260,46106,11168,33677,22656,5846,21930,12227,3872,39059
GOLGB1,7754,7676,3049,18951,21523,28395,6602,36248,15547,7073,16950,7961,24265,11295,10257,21392,12412,12175,9153,10208
ATN1,10033,11019,8472,29481,5280,24017,26101,31756,11091,8684,15039,8169,20484,11927,12484,11443,9862,9124,14573,9809
DPT,1417,1726,185,303,4051,970,155,599,2164,325,4839,23516,4355,34450,34430,12070,26201,17992,1438,117241
RBBP4,10675,9410,3747,79557,9011,26004,15409,19093,17239,8977,12035,5142,14180,5666,7992,12786,8742,8790,8637,5070
ZFP36,4547,5501,2431,2216,3348,6578,6430,2215,1139,2727,19068,12695,43286,36612,23106,11840,18520,23361,7680,54446
EPRS,13054,26212,5752,19604,43711,19623,24729,33536,19226,9155,8793,5660,10629,6576,7469,8022,7056,6746,6321,5840
TIMP1,8910,13186,43219,12892,11075,14620,54846,9829,9752,4810,20779,12267,15671,2948,14425,5510,5304,7891,15508,4061
MLF2,8279,13351,12797,23949,9202,30107,29770,65236,16165,9576,10761,4114,7875,5189,8911,6815,5635,5312,9394,5047
CD46,6962,6421,7046,10434,69178,11123,8332,16627,7655,3841,19060,9193,16730,13411,15399,18925,13407,13096,8814,11824
IRF2BP2,9909,16150,11056,35652,18242,14938,16575,17996,12823,8190,13847,7182,26420,6452,14331,13919,10189,14855,12730,5514
ATP5C1,14668,18021,10762,17739,13832,39534,39416,21781,32957,12132,9549,4438,7339,6612,7263,6214,5308,5495,7328,5884
TNKS1BP1,9050,17071,4032,21015,8150,8381,4685,31100,20909,16207,17572,12383,20000,14967,18524,11170,10203,11512,15466,13726
SERP1,12690,13806,6414,13635,36251,24506,28904,35354,8232,9148,14450,5754,14053,6883,11267,12851,8152,10204,8914,4600
SFRP2,12337,11803,2773,3096,46096,20903,15060,29465,5363,2628,30147,8946,12592,4844,20321,13166,12847,20667,6728,6113
VAT1,7414,11549,4010,24036,5588,27613,5300,8438,15240,17253,14606,19651,12830,18562,22943,13044,13685,14872,9698,18745
H1F0,8726,23302,17154,29469,12239,21188,4803,25837,11337,9996,17552,3830,22157,4112,10533,19932,9962,13294,14744,4620
EIF4H,8893,15188,5083,14325,12743,16053,11933,23273,34423,10280,17881,10199,15376,12139,14968,14528,11056,11787,12422,12058
PLXNB2,11401,16917,9404,25698,12900,13058,7392,22634,13982,8476,21241,5908,23980,7502,15672,15741,8836,10671,26896,6248
PYGB,13975,9060,3685,15858,20896,21383,5406,25143,30958,5579,19326,7328,25007,10089,14764,10597,9351,10701,17007,8220
GRINA,7161,19870,15610,26364,32109,25290,6272,16566,14546,11451,15905,8443,9755,11819,14622,8941,10211,7700,11925,9238
TAPBP,15011,29721,10999,5828,11548,39643,9721,39389,30826,3182,15825,6090,11163,4751,11490,9261,5675,7401,12248,3727
HNRNPL,11800,16041,10154,28429,14964,19319,23485,23911,24213,9063,14277,7282,13138,7059,11852,12011,8273,9492,11559,6606
CNOT1,8943,15703,3253,11830,32155,31590,16059,32879,26263,5812,8976,7489,16435,9489,7428,15671,8392,8288,6663,9356
CCT7,7718,15512,3875,14532,10739,22332,27394,32697,30480,14944,15567,7315,11421,8612,11475,9436,8305,8282,13996,7958
SDC1,29358,53146,8441,27042,34168,27595,8188,7340,6395,20216,11807,497,10820,592,7378,5237,3906,4885,14584,516
SF3B2,9051,19588,3940,19723,14979,26589,6933,30796,25129,9249,16393,8141,11903,10910,13617,12073,10495,9718,12558,9792
CBX3,11658,10757,9856,31651,19610,25313,40762,34606,24176,11450,9677,4150,8621,4088,5512,8439,6039,5624,6362,3147
SOX4,8832,8371,21307,87966,6724,15706,24581,24645,20664,3113,7243,1778,15906,1700,5232,9707,4152,4404,8346,1043
TUBB2C,13695,20714,15940,18601,5964,12598,10295,19871,48074,11370,16439,6155,10222,7286,13982,7174,7821,6904,21368,6793
COPG,13499,12851,7971,36259,24174,33716,15346,24656,10702,8590,12262,7244,11405,7633,12450,8420,8004,8003,10545,7408
SSRP1,11489,22044,2728,20203,9345,18332,19288,54440,35515,10030,12667,4916,9744,4802,8198,9618,5522,7550,9505,4716
GLG1,9197,13184,5446,14109,21250,24736,8945,14929,24740,4282,18116,12966,18006,11593,15659,15970,10727,12358,10780,13630
SFRS1,12669,12323,9906,30722,13529,17582,41722,21991,28076,6988,11433,5950,12097,6841,7797,11148,7885,7393,8153,5797
CLDN4,12737,15449,10113,45215,11857,10195,4827,29586,21537,25156,10138,127,27695,705,8364,12605,5267,7842,20037,379
WASF2,11169,10481,5172,24948,10694,18818,5145,11540,20655,8457,14892,14725,19715,18325,15831,16612,12467,11927,11027,17023
CNN3,11001,24502,2933,8543,22174,31410,19434,20450,12704,2063,18505,9636,13109,10246,12977,16607,10879,13139,8219,10978
SSR1,11524,14082,8460,22504,42574,26373,19642,11692,23806,5855,10211,7760,12748,7636,10460,11530,10054,8788,7122,6655
NCKAP1,11985,19554,5571,11182,29936,27691,21803,17269,23572,4526,10772,9014,14363,12196,7589,15064,10814,10183,6741,9628
CRTAP,4499,8128,6225,5269,14086,12814,4052,6207,13390,1443,14369,24552,14695,24161,26385,15373,19285,17376,9430,37466
HNRNPD,13014,15260,9436,36357,6464,14201,23662,30615,30525,6222,14267,5767,12478,5948,10413,11394,6830,9250,10910,5946
COPB2,9936,24917,4204,26696,26103,32989,18595,29341,11190,8026,11345,6940,11739,6915,8637,10327,7274,8322,7785,7577
ARHGDIA,16600,24886,7954,24727,7966,20736,15339,19479,20703,9845,15974,8958,10136,9462,18753,8011,7360,7899,15099,8815
HSPB1,11132,9998,33954,2211,30487,5285,21137,25274,10634,31952,14172,7698,7578,7073,24420,5009,6957,5756,11464,6055
DHX9,12614,15005,5585,26693,16267,22982,17436,28846,28286,9081,12267,6323,14223,7302,8471,12240,8712,9289,9630,6902
SDCBP,8133,10355,16342,9907,46962,22069,10626,14070,12507,1925,9173,22416,10051,15485,14108,11414,10463,11122,6135,14069
HNRNPF,20956,11028,5506,20211,22751,21664,23913,32327,19683,10807,11764,5397,12169,5589,9472,11753,6898,8834,12239,4078
TUG1,8743,11147,12403,22885,22743,22692,28265,15902,19434,7905,12609,6022,18480,7269,7850,16942,10430,9918,7057,7995
IPO7,13217,8355,4142,11194,23053,30600,14048,31795,47911,8767,8041,7126,14229,8677,6521,9723,8991,7055,6265,6853
SKP1,5448,7827,5883,17045,12453,19666,9960,26970,11340,6000,23233,9511,16317,12661,16214,19074,13698,14262,15021,13358
PPP1R1B,0,7255,125726,41880,17159,5824,5653,68,2367,14,5916,4817,12925,5429,6222,3973,4739,4444,12983,8532
IGFBP3,4276,48812,21019,4502,7206,8958,13477,13542,30324,2695,11906,9911,16593,12182,21722,9001,8518,13008,4249,13967
USP22,8205,17133,7668,12084,23742,20558,7820,17857,15612,4979,20173,8403,20751,9111,14559,17893,12791,10659,17711,7907
MARCKS,14938,10156,6529,24560,35118,24256,18042,21780,8337,4803,16405,10350,14501,6935,13448,14683,6780,8732,11558,3308
PRKCSH,7157,14135,12330,42435,9998,9675,10583,22644,29292,9438,17327,6134,14465,6504,13621,9082,7036,7980,19921,5397
CSNK1A1,10007,10354,8139,24955,13787,12067,15811,19284,11443,5312,22963,8414,23952,9323,13606,17855,13083,13689,13599,7312
CLSTN1,6835,14005,5611,20250,6234,42460,7326,22144,17975,3958,21066,6106,23065,4188,14623,14609,8536,12607,18415,4640
NDRG2,1226,1845,21596,49736,1920,4175,3341,13970,8341,781,20969,4727,37896,10605,17075,16825,11380,15103,22871,10203
DDR1,11168,12157,7382,14004,22358,14720,16558,37277,16655,2679,24754,1818,23705,2237,10268,14841,8604,9076,21950,1744
FUS,13335,18028,11122,35055,9341,7590,15445,38897,27983,8570,14810,3937,9452,3877,9785,10515,8408,8655,14479,4269
RNASE1,2656,25104,4130,5421,3899,9780,7878,9990,2568,1203,19203,50999,5868,20419,37317,8484,15853,11423,2531,28707
BZW1,9243,12049,4459,12527,20860,15721,27153,23362,37662,4686,14955,8598,12219,8269,10718,12708,10524,9236,10734,7407
JAK1,8700,15213,3200,13002,9228,23021,7798,16489,2562,7358,14500,18359,20268,21094,15273,16623,14724,15698,9137,20291
LEP,4,37,9,1,303,4,46,8,6,74,3110,15431,13332,59793,43100,7297,39326,16121,226,74134
PICALM,7942,11991,4677,8922,15643,24013,17374,15014,14645,16267,13159,12502,14664,17501,13462,13752,13149,12964,7133,17089
EIF5B,14229,17249,12750,24891,12339,18546,25977,26213,24784,10662,12547,6390,9000,7292,10441,9181,6732,7556,5383,9686
HLA-DRB1,24140,35387,684,1481,12786,29938,1432,37780,6183,2437,14744,13521,3171,11036,13735,20823,10293,4828,17345,8948
RNF213,22674,32357,2132,4564,26416,65376,5226,14617,7892,2096,9770,8892,10095,8109,7630,15948,7017,5670,5568,8211
NFIX,13090,12437,12895,30855,6779,11460,11314,15208,19368,1348,9765,10203,20905,16068,16702,12762,10986,12963,9028,16048
EEF1B2,8720,8244,6546,12205,11719,8874,12358,42299,37099,10410,17181,7075,16122,6414,12838,10121,7149,10116,17663,6754
DDOST,13967,16830,9509,21111,16157,31332,12907,22559,17278,11903,15911,7079,11774,5113,11894,10091,6839,8125,13796,5716
PGRMC1,12130,9776,7012,26679,52747,9126,23867,19179,11179,11941,11867,6099,9426,8212,10149,10801,7199,7678,8612,6156
ADD1,7958,10526,4333,8025,9491,17210,5000,19217,8374,5391,18012,15658,19339,19608,19472,18289,15663,15086,13303,19644
MXRA5,15358,28881,3878,2564,42482,47724,4663,2899,12102,3156,10019,12365,25478,4468,10449,6053,15978,7197,5430,8115
PTBP1,12673,16516,11515,28638,12400,15719,20926,26641,22107,9588,11799,5768,13865,6429,11331,10317,7639,8225,11939,5204
B4GALT1,9266,20796,4598,10321,27002,21630,13429,40466,9200,5877,23334,4508,20300,4883,9442,9237,9885,8705,11154,5191
AZIN1,12053,13521,11497,30864,27618,20233,22974,12989,13640,10011,11597,8097,12687,9745,6871,9074,11805,8131,7596,7955
EIF5,8781,10582,2847,6567,30332,17258,28198,14055,28155,5767,12294,9402,13278,11337,11710,16222,13224,9673,7753,11360
ARPC2,11947,15435,5647,12022,15878,24143,22490,26310,24428,7221,15894,11419,9800,8663,12553,9919,8043,8059,9226,9660
SF3B3,15215,14047,7535,20401,13650,27571,23948,33671,24497,9087,9582,5608,12656,6629,7468,9663,6021,7246,8597,5405
ARCN1,7056,11308,3785,15657,39697,27743,12671,27912,9337,5286,11668,8165,14671,10503,11082,11339,9611,11074,8269,11329
CCT4,6909,15900,2791,11554,12413,21542,30949,37070,21433,15472,13704,6499,13014,7047,9469,10136,7035,7773,11384,5865
RCC2,18308,12785,12891,23299,8298,27491,25630,37913,19294,16187,9789,3466,10954,2392,6621,7809,4975,4617,10909,2673
CALM3,10917,24538,6231,25278,10618,18894,10132,23939,12470,12831,15409,12390,11088,7380,13702,11627,7419,8168,13090,9344
PDIA4,13838,20782,10954,23585,28745,41699,5431,25827,12063,11715,13431,5160,10493,2906,7159,6655,4950,7235,9713,2864
UGP2,4791,7430,3400,11201,12672,14082,25496,9210,10002,7446,10482,21580,10995,24159,19996,10968,16405,12857,6421,25532
TUBA1C,19437,33244,10589,33449,16466,14911,18745,31392,30856,11783,5608,4992,3851,2603,5952,3305,4446,2643,7788,2437
ATP5E,8721,11988,14916,15983,13733,12413,35810,24665,17168,12350,14514,9496,7894,9379,13154,7018,7279,7665,10081,9765
EIF3D,6746,10949,4360,12323,10229,12679,17398,20553,23342,8102,21086,8302,21346,8084,15577,13766,9625,12371,19493,7556
VTCN1,705,21328,14714,7208,609,65564,10341,28673,2833,1883,31550,11,16213,358,7593,27473,5419,13041,8104,190
ALDH9A1,4187,6671,4013,79900,4838,9529,11060,9268,8401,15351,10336,8976,11771,16331,10664,8801,10896,10119,7476,15209
TSC22D1,5035,5113,5072,7538,31270,7371,11147,9649,3677,13914,24956,8028,29502,7858,18154,20128,12933,17549,16726,8163
IGFBP7,6434,9983,25182,7821,10051,19375,12074,14093,10930,5013,23308,15339,10965,16088,15495,15504,13217,14545,7920,8795
CCT8,15424,12170,6697,16791,10488,17418,29213,17097,49537,13040,10281,5086,9270,5830,7057,8977,6877,6134,9041,5612
TNC,8584,27006,10185,1377,2367,43135,6973,2515,7859,1080,37781,4091,28825,7764,10832,16189,13217,10303,20435,1383
ITGA6,3262,6100,5912,57661,8102,24279,17203,5101,20143,571,14861,4953,21431,8039,8516,14050,9343,14862,9208,8173
UBAP2L,12194,23651,11128,26531,11631,23321,28648,29619,17536,13922,7925,4529,10043,5003,6532,7374,4913,5613,6224,4919
TPR,10295,10525,7483,22284,19933,21392,15899,23788,29016,15996,10260,7134,12331,7786,6928,11761,7232,7939,5253,7872
TMBIM1,7779,8903,2056,4801,12509,12051,5953,9239,13465,6094,12250,22343,11241,30992,23574,12668,13121,13516,8388,30104
BHLHE40,7623,14336,2002,828,17779,17797,10282,3660,9010,4020,21216,3331,49185,9104,12740,12996,14325,29396,16394,4925
MGLL,990,1975,550,2698,4300,1879,2997,726,1720,6567,8081,18550,12154,55925,33212,11729,27931,18966,5102,44666
FKBP1A,8527,13759,10830,16755,17229,22988,22926,13478,12839,12037,13437,12380,9905,11041,13700,8925,10777,9711,9394,10015
ELF3,20360,13795,5227,10939,17504,12419,2949,73649,22326,3935,8851,188,25464,520,5736,12451,4556,7822,11505,428
NQO1,5795,7430,6412,12232,96222,5274,14187,6250,11461,1458,7533,4229,5642,10251,15408,4618,12769,7799,8545,17021
IDH2,9572,26844,5635,32358,23271,18299,7194,43010,17956,25943,8359,2118,6485,3491,6814,4626,4054,2471,10187,1782
EHD2,1504,5153,2988,1933,3542,5798,3773,852,1580,1672,12489,25348,14694,48285,36400,8932,25196,16853,7998,35460
BAT3,10778,15762,11229,17526,8513,22689,14940,21792,33179,11274,11937,6408,11739,8974,11756,8774,6941,7463,11837,6812
REEP5,5072,8815,7303,19825,37467,7166,9166,7315,7319,8212,18919,9714,17496,8643,18427,19030,13532,13118,12815,10365
MYLK,2792,5377,3818,2491,6986,7257,4933,1332,3796,3395,41047,3969,42814,12940,16302,35747,15589,27412,14808,6512
ALOX15B,16,103,28,53,202831,106,51,47,150,54,1208,21,1069,1,41727,525,1664,252,9191,32
SDC4,6188,6833,8802,26756,25838,6310,7720,7491,15627,3545,19781,1235,25799,2882,17358,22339,25193,12247,15755,1388
PNPLA2,2782,4547,1755,7224,3156,2123,1710,11891,4236,5628,8880,23074,12529,50976,39071,8760,19227,11369,8207,31619
USP9X,6803,9233,3107,10677,35342,25083,16730,13962,20915,10137,10371,9661,14167,12691,8706,12208,10972,8234,6154,13416
RAB1B,5394,14538,6307,22938,15159,19766,6474,20081,18006,9601,17071,8214,11352,9728,16398,10559,10174,9427,16324,10878
ACADVL,5528,8764,11115,8079,7406,14164,3478,10033,8175,6677,28167,14738,19204,16626,22284,16610,12387,13431,15748,15662
MYADM,8543,13726,4512,10235,7324,7484,4232,9724,9086,939,18216,11317,30806,26144,18856,9689,19282,17395,12404,17419
BTG1,5999,12269,9325,11374,6780,7318,36946,14302,15752,2946,15679,11467,14170,10733,14664,25065,9262,14338,9154,9789
ARF4,12095,15429,8381,14306,26652,22734,15729,22038,15664,7902,11660,8711,12483,7488,12066,9181,9797,8792,8983,7136
ARF3,7997,9974,6122,26876,25001,15617,10840,27822,12964,6551,13121,7773,13888,7185,12522,13869,10152,8965,12692,7147
RAD23B,11433,12609,5794,12008,10747,25731,16753,14517,25409,7752,10961,10546,13705,14071,12436,10525,11449,10328,8405,11441
PARP1,12199,21979,7844,29749,21477,17005,19485,28916,18936,6933,10264,5438,9195,6217,8321,7871,5579,5813,8294,4951
CXCL12,4104,2733,1542,2020,8703,7445,4519,2258,3416,423,27318,19291,19998,21007,29189,20571,22712,28500,8759,21041
ACTR3,15083,25234,7085,14295,17548,22491,30309,23400,22518,5988,8482,8070,8859,6141,7336,8499,5247,6664,6747,5434
SUN2,6063,14875,4168,29057,4162,8615,2780,10290,14864,8116,14123,12931,16212,19687,20576,13879,11568,11453,15645,16109
PLOD1,15224,28806,18294,29460,8211,27200,7426,13947,25898,8722,9249,6966,11125,6178,8310,5266,4682,4876,9249,6082
ESYT1,4839,9967,1622,8726,11143,9679,3434,15270,6678,3314,12376,16939,14255,38997,19077,12509,16277,12420,9988,27359
C10orf10,6824,6082,3578,1679,3452,11525,1220,19708,2808,1635,12284,30157,5519,23728,26583,13522,12553,31630,7219,33049
